Probe Name,Class Name,,Avg Count,Min Count,Max Count,%CV,,20230616_210462891024_K1241-B_02.RCC,20230616_210462891024_K1628-B_03.RCC,20230616_210462891024_K1865-B_04.RCC,20230616_210462891024_K2032-B_05.RCC,20230616_210462891024_K2068-B_06.RCC,20230616_210462891024_K2323-B_07.RCC,20230616_210462891024_K2360-B_08.RCC,20230616_210462891024_K2520-B_09.RCC,20230616_210462891024_K2669-B_10.RCC,20230616_210462891024_K2742-B_11.RCC,20230616_210462891024_K2849-B_12.RCC,20230616_210462891024_K853-B_01.RCC,20230707_210462871024_K1241-Tx_09.RCC,20230707_210462871024_K1628-Tx_10.RCC,20230707_210462871024_K2032-Tx_11.RCC,20230707_210462871024_K2360-Tx_12.RCC,20230707_210462871024_K4106-B_01.RCC,20230707_210462871024_K4196-B_02.RCC,20230707_210462871024_K4258-B_03.RCC,20230707_210462871024_K4307-B_04.RCC,20230707_210462871024_K4360-B_05.RCC,20230707_210462871024_K4368-B_06.RCC,20230707_210462871024_K5046-B_07.RCC,20230707_210462871024_K853-Tx_08.RCC,20230707_210462881024_K2894-B_01.RCC,20230707_210462881024_K2917-B_02.RCC,20230707_210462881024_K3056-B_03.RCC,20230707_210462881024_K3566-B_04.RCC,20230707_210462881024_K3812-B_05.RCC,20230707_210462881024_K3953-B_06.RCC,20230707_210462881024_K3975-B_07.RCC,20230707_210462881024_K4010-B_08.RCC,20230707_210462881024_K4020-B_09.RCC,20230707_210462881024_K4023-B_10.RCC,20230707_210462881024_K4054-B_11.RCC,20230707_210462881024_K4093-B_12.RCC,20230707_210462901024_K2742-Tx_01.RCC,20230707_210462901024_K2849-Tx_02.RCC,20230707_210462901024_K2894-Tx_03.RCC,20230707_210462901024_K2917-Tx_04.RCC,20230707_210462901024_K3056-Tx_05.RCC,20230707_210462901024_K3566-Tx_06.RCC,20230707_210462901024_K3953-Tx_07.RCC,20230707_210462901024_K3975-Tx_08.RCC,20230707_210462901024_K4106-Tx_09.RCC,20230707_210462901024_K4258-Tx_10.RCC,20230707_210462901024_K4360-Tx_11.RCC,20230707_210462901024_K4368-Tx_12.RCC
,,,,,,,,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Treatment,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2M,Endogenous,,7356.64,488.63,63370.75,141.34,,1036.78,19308.21,16534.59,4637.21,19241.61,3511.26,11896.72,1307.91,1435.65,997.83,5904.69,3210.52,2149.74,8509,3220.1,10379.05,1686.4,1028.04,2344.93,1825.08,1480.35,63370.75,16501.54,2324.05,1696.45,17013.47,1984.41,2741.15,488.63,598.31,9577.19,5316.1,2044.17,2008.91,21555.98,5166.36,1765.04,7870.94,1685.48,16932.16,3784.86,15412.52,1243.67,2213.13,4185.63,2610.79,2226.38,19155.18
ABCB1,Endogenous,,85.7,9.18,770.15,140.55,,138.24,149.87,87.95,43.6,13.95,39.54,22.62,129.92,26.05,34.92,14.22,48.93,78.25,90.47,44.22,61.02,104.31,24.92,39.82,9.18,19.37,22.88,167.99,89.62,137.84,43.46,25.72,18.37,18.72,22.36,123.59,770.15,42.36,49.55,153,32.41,29.97,50.94,131.05,195.39,45.29,363.06,61.37,57.11,167,32.45,21.66,19.08
ABL1,Endogenous,,703.33,215.08,2489.04,60.46,,368.63,1449.37,515.14,670.04,722.13,1018.55,646.98,576.62,496.26,844.83,349.49,301.1,908.47,739.24,562.48,552.88,239.92,719.47,461.49,615.87,1335.05,647.11,459.93,215.08,442.67,809.98,1088.64,514.43,902.36,2489.04,523.34,485.09,348.95,410.11,414.06,945.23,724.96,365.86,218.42,751.05,536.46,585.58,1951.42,1038.74,323.34,1034.94,805.66,633.29
ADA,Endogenous,,121.54,31.61,282.87,51.45,,276.47,65.16,97.37,73.92,77.91,187.33,131.21,69.29,78.48,116.41,101.59,131.73,126.83,56,49.53,195.28,135.61,256.08,194.44,272.05,106.56,75.01,107.49,95.59,92.77,31.61,282.87,84.51,68.85,46.84,59.5,141.55,145.04,97.84,102,102.63,145.96,121.95,156.54,85.49,196.82,117.12,61.37,103.52,94.16,209.15,155.93,52.65
ADORA2A,Endogenous,,56.7,12.91,302.68,83.66,,69.12,25.13,125.64,22.75,30.23,33.89,131.21,29.7,16.11,23.28,14.22,63.98,30.58,65.48,28.3,302.68,55.63,29.16,46.85,25.04,23.78,31.78,105.14,95.59,60.97,82.97,38.57,51.44,30.8,38.33,41.2,29.49,17.95,12.91,84.71,94.52,38.66,37.56,87.37,48.85,94.06,105.4,28.64,32.13,49.74,68.52,86.63,35.1
AICDA,Endogenous,,27.56,4.67,161.28,124.5,,161.28,9.31,25.13,10.42,9.3,13.18,24.88,8.66,10.62,19.96,14.22,26.35,7.2,12.92,12.38,14.65,41.73,10.6,23.43,12.52,7.05,11.44,19.38,23.9,15.9,39.51,25.72,44.09,6.64,135.2,13.73,4.67,12.92,5.83,11.24,29.71,17.4,14.41,14.56,54.95,10.45,58.56,151.37,24.99,14.21,43.27,34.65,8.39
AIRE,Endogenous,,41,7.54,276.47,115.51,,276.47,9.31,37.69,18.95,15.12,21.65,33.93,71.77,7.54,34.92,26.41,41.4,23.39,18.95,31.84,29.29,31.29,13.78,42.17,14.19,17.61,22.88,11.16,179.23,13.25,43.46,20,25.72,65.23,19.16,38.14,10.57,20.1,12.07,12.1,40.51,23.2,8.75,120.13,79.38,47.03,117.12,40.91,35.7,28.43,50.48,51.98,13.73
AKT3,Endogenous,,1321.63,48.97,4131.22,70.49,,1474.53,4131.22,1231.3,216.08,2416.39,1157.87,1879.86,2865.77,1988.45,99.78,1160.21,1460.36,597.25,1351.83,143.27,1553.68,2854.71,572.6,766.03,1481.26,1318.32,1690.87,923.96,1601.15,2170.92,2240.28,688.61,1580.02,970,48.97,1693.59,1043.66,265.66,229.41,1047.67,1190.99,150.79,817.66,2533.69,1575.37,214.24,1311.7,126.82,756.75,3659.76,454.36,1225.81,2504.94
