Probe Name,Class Name,% Samples above Threshold,,20230616_210462891024_K1241-B_02.RCC,20230616_210462891024_K1628-B_03.RCC,20230616_210462891024_K1865-B_04.RCC,20230616_210462891024_K2032-B_05.RCC,20230616_210462891024_K2068-B_06.RCC,20230616_210462891024_K2323-B_07.RCC,20230616_210462891024_K2360-B_08.RCC,20230616_210462891024_K2520-B_09.RCC,20230616_210462891024_K2669-B_10.RCC,20230616_210462891024_K2742-B_11.RCC,20230616_210462891024_K2849-B_12.RCC,20230616_210462891024_K853-B_01.RCC,20230707_210462871024_K1241-Tx_09.RCC,20230707_210462871024_K1628-Tx_10.RCC,20230707_210462871024_K2032-Tx_11.RCC,20230707_210462871024_K2360-Tx_12.RCC,20230707_210462871024_K4106-B_01.RCC,20230707_210462871024_K4196-B_02.RCC,20230707_210462871024_K4258-B_03.RCC,20230707_210462871024_K4307-B_04.RCC,20230707_210462871024_K4360-B_05.RCC,20230707_210462871024_K4368-B_06.RCC,20230707_210462871024_K5046-B_07.RCC,20230707_210462871024_K853-Tx_08.RCC,20230707_210462881024_K2894-B_01.RCC,20230707_210462881024_K2917-B_02.RCC,20230707_210462881024_K3056-B_03.RCC,20230707_210462881024_K3566-B_04.RCC,20230707_210462881024_K3812-B_05.RCC,20230707_210462881024_K3953-B_06.RCC,20230707_210462881024_K3975-B_07.RCC,20230707_210462881024_K4010-B_08.RCC,20230707_210462881024_K4020-B_09.RCC,20230707_210462881024_K4023-B_10.RCC,20230707_210462881024_K4054-B_11.RCC,20230707_210462881024_K4093-B_12.RCC,20230707_210462901024_K2742-Tx_01.RCC,20230707_210462901024_K2849-Tx_02.RCC,20230707_210462901024_K2894-Tx_03.RCC,20230707_210462901024_K2917-Tx_04.RCC,20230707_210462901024_K3056-Tx_05.RCC,20230707_210462901024_K3566-Tx_06.RCC,20230707_210462901024_K3953-Tx_07.RCC,20230707_210462901024_K3975-Tx_08.RCC,20230707_210462901024_K4106-Tx_09.RCC,20230707_210462901024_K4258-Tx_10.RCC,20230707_210462901024_K4360-Tx_11.RCC,20230707_210462901024_K4368-Tx_12.RCC
,,,,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Treatment,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2M,Endogenous,100,,45,20742,5264,4893,16547,3730,5259,1057,4189,600,2906,853,2390,9876,3641,8504,485,1939,1001,2187,1681,49846,28093,389,640,4306,1389,746,809,562,6277,21633,2847,4825,24937,1913,1826,15296,463,2773,2173,1316,304,620,2356,724,514,25105
ABCB1,Endogenous,100,,6,161,28,46,12,42,10,105,76,21,7,13,87,105,50,50,30,47,17,11,22,18,286,15,52,11,18,5,31,21,81,3134,59,119,177,12,31,99,36,32,26,31,15,16,94,9,5,25
ABL1,Endogenous,100,,16,1557,164,707,621,1082,286,466,1448,508,172,80,1010,858,636,453,69,1357,197,738,1516,509,783,36,167,205,762,140,1494,2338,343,1974,486,985,479,350,750,711,60,123,308,50,477,291,182,287,186,830
ADA,Endogenous,100,,12,70,31,78,67,199,58,56,229,70,50,35,141,65,56,160,39,483,83,326,121,59,183,16,35,8,198,23,114,44,39,576,202,235,118,38,151,237,43,14,113,10,15,29,53,58,36,69
ADORA2A,Endogenous,100,,3,27,40,24,26,36,58,24,47,14,7,17,34,76,32,248,16,55,20,30,27,25,179,16,23,21,27,14,51,36,27,120,25,31,98,35,40,73,24,8,54,9,7,9,28,19,20,46
AICDA,Endogenous,100,,7,10,8,11,8,14,11,7,31,12,7,7,8,15,14,12,12,20,10,15,8,9,33,4,6,10,18,12,11,127,9,19,18,14,13,11,18,28,4,9,6,5,37,7,8,12,8,11
AIRE,Endogenous,100,,12,10,12,20,13,23,15,58,22,21,13,11,26,22,36,24,9,26,18,17,20,18,19,30,5,11,14,7,108,18,25,43,28,29,14,15,24,17,33,13,27,10,10,10,16,14,12,18
AKT3,Endogenous,100,,64,4438,392,228,2078,1230,831,2316,5802,60,571,388,664,1569,162,1273,821,1080,327,1775,1497,1330,1573,268,819,567,482,430,1606,46,1110,4247,370,551,1212,441,156,1589,696,258,123,112,31,212,2060,126,283,3283
