,Class Name,Avg Count,Min Count,Max Count,%CV,Accession,Common Name,Gene_Class
A2M,Endogenous,7356.64,488.63,63370.75,141.34,NM_000014.4,A2M,Immune Response
ABCB1,Endogenous,85.7,9.18,770.15,140.55,NM_000927.3,ABCB1,Immune Response
ABCF1,Housekeeping,424.81,161.28,1022.98,34.61,NM_001090.2,ABCF1,HK
ABL1,Endogenous,703.33,215.08,2489.04,60.46,NM_005157.3,ABL,Immune Response
ADA,Endogenous,121.54,31.61,282.87,51.45,NM_000022.2,ADA,Immune Response
ADORA2A,Endogenous,56.7,12.91,302.68,83.66,NM_000675.3,ADORA2A,Immune Response - Checkpoint
AGK,Housekeeping,192.74,81.28,382.24,31.75,NM_018238.3,AGK,HK
AICDA,Endogenous,27.56,4.67,161.28,124.5,NM_020661.1,AICDA,Immune Response
AIRE,Endogenous,41.0,7.54,276.47,115.51,NM_000383.2,APECED,Immune Response
AKT3,Endogenous,1321.63,48.97,4131.22,70.49,NM_181690.1,AKT3,Immune Response - Cell Type specific
ALAS1,Housekeeping,156.0,87.62,293.95,32.16,NM_000688.4,ALAS,HK
ALCAM,Endogenous,451.62,9.67,2798.64,110.0,NM_001627.3,CD166,Immune Response
AMBP,Endogenous,421.04,2.79,16472.48,571.25,NM_001633.3,AMBP,Immune Response
AMICA1,Endogenous,302.78,44.7,2569.58,131.29,NM_153206.2,AMICA1,Immune Response
AMMECR1L,Housekeeping,333.12,179.87,655.26,26.68,NM_001199140.1,AMMECR1L,HK
ANP32B,Endogenous,814.45,328.59,1942.69,36.87,NM_006401.2,APRIL,Immune Response - Cell Type specific
ANXA1,Endogenous,5530.64,358.62,27831.89,81.21,NM_000700.1,ANXA1,Immune Response
APOE,Endogenous,2185.31,98.78,10636.38,105.14,NM_000041.2,APOE,Immune Response - Cell Type specific
APP,Endogenous,4712.44,629.1,15124.88,64.37,NM_000484.3,APP,Immune Response
ARG1,Endogenous,55.87,3.02,1376.85,378.58,NM_000045.2,ARG1,Immune Response
ARG2,Endogenous,91.48,11.37,522.66,98.89,NM_001172.3,ARG2,Immune Response
ATF1,Endogenous,304.24,150.01,518.46,29.5,NM_005171.2,ATF1,Immune Response
ATF2,Endogenous,478.37,138.24,739.24,29.03,NM_001256090.1,ATF2,Immune Response
ATG10,Endogenous,119.46,51.98,201.07,33.25,NM_001131028.1,ATG10,Immune Response
ATG12,Endogenous,47.71,15.12,138.33,55.39,NM_004707.2,ATG12,Immune Response
ATG16L1,Endogenous,208.08,129.88,393.16,23.21,NM_198890.2,ATG16L1,Immune Response
ATG5,Endogenous,292.14,115.2,911.97,43.62,NM_004849.2,ATG5,Immune Response
ATG7,Endogenous,160.35,46.08,260.19,26.48,NM_001136031.2,ATG7,Immune Response
ATM,Endogenous,26.43,8.75,152.89,90.66,NM_000051.3,ATM,Immune Response - Cell Type specific
AXL,Endogenous,1182.92,262.67,3051.15,64.4,NM_021913.2,AXL,Immune Response
BAGE,Endogenous,31.42,2.21,283.95,138.64,NM_001187.1,BAGE,CT Antigen
BATF,Endogenous,40.35,8.46,117.12,63.5,NM_006399.3,BATF,Immune Response - Cell Type specific
BAX,Endogenous,888.26,379.88,1767.73,38.19,NM_138761.3,BAX,Immune Response
BCL10,Endogenous,312.19,116.41,760.3,43.28,NM_003921.2,BCL10,Immune Response
BCL2,Endogenous,367.61,89.6,3387.86,130.08,NM_000657.2,BCL2,Immune Response - Cell Type specific
BCL2L1,Endogenous,1162.75,414.71,5528.6,64.58,NM_001191.2,Bcl-X,Immune Response
BCL6,Endogenous,380.92,82.94,1158.29,62.26,NM_001706.2,BCL6,Immune Response - Cell Type specific
BID,Endogenous,28.06,3.67,115.2,71.37,NM_001196.2,BID,Immune Response
BIRC5,Endogenous,238.07,22.27,1385.75,115.51,NM_001168.2,survivin,Immune Response
